college_Tier,name,avg_Parent_Rank,avg_Student_Rank,pc_Parents_Q1,pc_Parents_Q5,pc_Students_Q1,pc_Students_Q5
Selective - Highly Selective,"University Of California, Davis",0.688869129,0.72145909,8.5837573,48.782891,9.0886995,55.807149
Selective - Highly Selective,"University Of California, Berkeley",0.698318737,0.73551917,8.8423379,51.349801,9.6670501,59.875512
Selective - Highly Selective,University Of Arkansas At Pine Bluff,0.356811869,0.50361347,32.268348,6.1439026,11.235548,11.472033
Selective - Highly Selective,University Of Arkansas At Monticello,0.475918062,0.54280543,20.884383,14.635864,10.905076,19.048414
Selective - Highly Selective,University Of Arkansas,0.663144139,0.64383698,7.1958207,38.799751,10.940336,38.543057
Selective - Highly Selective,University Of Alaska System,0.621436765,0.55552131,8.0150038,31.130815,16.140597,26.891157
Selective - Highly Selective,University Of Alabama In Huntsville,0.647664173,0.63438141,7.948333,35.236657,12.072598,40.025532
Selective - Highly Selective,University Of Alabama At Birmingham,0.574070344,0.58612907,12.073208,26.557153,12.2943,26.145887
Selective - Highly Selective,University Of Alabama,0.700282315,0.63923728,6.4959638,46.647847,11.030798,37.286812
Selective - Highly Selective,University Of Akron,0.577535377,0.57816756,8.4329568,20.174278,10.781582,24.784788
Selective - Highly Selective,"Union College of Schenectady, NY",0.764064734,0.74134564,4.2998195,59.227115,9.5017165,58.817923
Selective - Highly Selective,Tuskegee University,0.474569395,0.60427094,18.653946,16.239992,10.067794,31.962502
Selective - Highly Selective,Truman State University,0.72326171,0.66305292,2.608363,45.347607,8.3771296,38.745481
Selective - Highly Selective,"Troy University And Troy State Universities, Montgomery And Dothan",0.521190695,0.56677723,15.588653,18.475455,11.427031,20.105766
Selective - Highly Selective,Trinity University,0.804250715,0.70752549,2.4545144,65.998387,9.6322387,51.90984
Selective - Highly Selective,Trinity International University,0.635180615,0.54630458,5.2586116,29.736215,16.19695,25.790283
Selective - Highly Selective,Trinity Christian College,0.683554499,0.57175183,4.7024734,35.505944,14.685071,27.217767
Selective - Highly Selective,Trevecca Nazarene University,0.61140085,0.55335492,5.285085,22.262628,12.507628,19.91957
Selective - Highly Selective,Transylvania University,0.69295817,0.65771973,4.8732698,42.807424,8.1363164,37.416211
Selective - Highly Selective,Tiffin University,0.581675103,0.6055063,7.716009,19.326299,9.8359264,25.601879
Selective - Highly Selective,Thomas More College,0.645091355,0.65134031,5.764756,31.46643,8.8844396,35.531664
Selective - Highly Selective,Thomas College,0.504147578,0.60258502,13.102926,10.102135,8.7660842,23.738042
Selective - Highly Selective,Thiel College,0.538179949,0.58309895,11.734048,13.335499,9.9988282,22.788505
Selective - Highly Selective,Texas Woman's University,0.605923139,0.59586954,9.3652733,31.201309,11.363615,24.708799
Selective - Highly Selective,Texas Tech University,0.717113648,0.66261339,4.5976318,49.336293,11.331806,42.6633
Selective - Highly Selective,Texas State University,0.681696963,0.63190877,6.1181758,42.426467,11.305612,33.26478
Selective - Highly Selective,Texas Southern University,0.364443273,0.4981575,30.844814,6.6613764,13.701884,12.770998
Selective - Highly Selective,Texas Christian University,0.791159292,0.67163318,2.7070837,63.386321,11.6917,46.209311
Selective - Highly Selective,Texas A&M University - Kingsville,0.440760689,0.60727918,25.405338,13.011459,11.268272,30.247641
Selective - Highly Selective,Texas A&M University - Corpus Christi,0.60418504,0.6246829,9.6550167,28.63028,12.06665,32.337284
Selective - Highly Selective,Texas A&M University - Commerce,0.559683028,0.59801602,12.235297,21.681845,9.0540357,23.502097
Selective - Highly Selective,Texas A&M University,0.752474279,0.70535862,3.2128137,55.655813,11.240903,52.700984
Selective - Highly Selective,Tennessee Wesleyan College,0.551025369,0.57008755,14.091855,18.038881,9.0087861,19.843265
Selective - Highly Selective,Tennessee Technological University,0.596106687,0.61265397,9.5024854,26.053047,10.456684,30.956236
Selective - Highly Selective,Tennessee State University,0.470851755,0.58719194,18.183444,14.28048,7.6405391,21.671984
Selective - Highly Selective,Temple University,0.611002365,0.64493465,9.2837185,31.370053,9.999907,38.037759
Selective - Highly Selective,Taylor University,0.707357986,0.55859309,4.9985863,44.426161,16.836412,27.710366
Selective - Highly Selective,Tarleton State University,0.583858861,0.61646008,9.1978438,23.272598,10.435809,29.895827
Selective - Highly Selective,Tabor College,0.602006679,0.53210956,5.5578582,25.447604,16.333142,22.159339
Selective - Highly Selective,Syracuse University,0.729950388,0.72259295,5.6894027,53.878343,8.0853291,55.123174
Selective - Highly Selective,Susquehanna University,0.734227842,0.6969856,3.3380736,50.973523,8.8137999,45.572883
Selective - Highly Selective,SUNY Upstate Medical University And SUNY College Of Environment Science And Forestry,0.65722625,0.68876302,5.1576018,33.210486,7.3868439,42.206758
Selective - Highly Selective,SUNY Maritime College,0.711198299,0.82991105,4.3647721,45.028409,4.6785496,78.529739
Selective - Highly Selective,SUNY College Of Technology At Alfred,0.539757788,0.59499949,12.156186,16.835558,8.3049804,26.668447
Selective - Highly Selective,SUNY College Of Agriculture & Technology At Cobleskill,0.553236747,0.5621931,10.780267,21.872905,10.387237,19.278465
Selective - Highly Selective,SUNY College At Purchase,0.683730864,0.57535219,7.6111004,46.210793,12.571563,29.587209
Selective - Highly Selective,SUNY College At Oswego,0.626357391,0.64475387,8.1431203,31.087321,7.1475521,32.51828
Selective - Highly Selective,SUNY College At Oneonta,0.643849034,0.6500144,7.016623,35.595775,8.1474833,36.303526
Selective - Highly Selective,SUNY College At Old Westbury,0.453292103,0.59189409,20.58821,14.459503,12.401733,29.721671
Selective - Highly Selective,SUNY College At Geneseo,0.718268394,0.69928938,3.9661981,46.718413,7.024201,42.695969
Selective - Highly Selective,SUNY College At Cortland,0.666718323,0.69470859,5.6574274,37.134272,6.0699806,41.410285
Selective - Highly Selective,SUNY College At Buffalo,0.581981548,0.58819431,10.266733,23.685399,8.9014031,21.447307
Selective - Highly Selective,SUNY College At Brockport,0.6371691,0.64334506,5.8268659,29.257414,6.9679253,30.510277
Selective - Highly Selective,SUNY At Fredonia,0.670217247,0.6386171,4.5932904,36.037284,6.7078829,28.016946
Selective - Highly Selective,Sul Ross State University,0.432099737,0.57417309,23.651515,11.292057,11.501,22.021627
Selective - Highly Selective,Suffolk University,0.643398757,0.65412176,7.673727,36.613658,10.655662,41.418213
Selective - Highly Selective,Stevenson University,0.692568657,0.69946575,4.2376637,41.669196,7.9497993,47.557211
Selective - Highly Selective,Stevens Institute Of Technology,0.659154097,0.83089244,6.8676248,40.17356,6.3341349,79.539096
Selective - Highly Selective,Stetson University,0.674915243,0.63399845,7.2785452,44.393834,11.771195,37.611645
Selective - Highly Selective,Sterling College,0.565925643,0.54787385,6.8242677,20.097905,13.109075,20.748305
Selective - Highly Selective,Stephen F Austin State University,0.633885437,0.61371124,9.0629965,36.544901,11.313809,29.101616
Selective - Highly Selective,State University Of New York Institute Of Technology At Utica,0.592008374,0.70220399,7.84766,20.847711,8.3030596,43.193826
Selective - Highly Selective,State University Of New York College At Potsdam,0.615160649,0.58798397,7.6338001,27.396965,9.9247776,22.871996
Selective - Highly Selective,State University Of New York College At Plattsburgh,0.637827625,0.64262062,8.2869187,35.074776,7.7663913,32.451028
Selective - Highly Selective,State University Of New York At Stony Brook,0.562265277,0.70821267,16.416624,30.093735,9.6780173,54.246753
Selective - Highly Selective,State University Of New York At New Paltz,0.637649909,0.64323336,9.8972023,38.099489,8.8875189,38.22791
Selective - Highly Selective,State University Of New York At Farmingdale,0.617287015,0.61784047,8.9489654,32.069847,13.850488,36.575001
Selective - Highly Selective,State University Of New York At Buffalo,0.651846793,0.6941781,8.1726015,38.656056,7.4388251,46.7273
Selective - Highly Selective,State University Of New York At Albany,0.662391965,0.70642638,8.3287805,42.62211,7.8143477,50.464725
Selective - Highly Selective,Stanford University,0.809392209,0.77462727,3.5795204,68.995559,8.6458147,67.273152
Selective - Highly Selective,St. Lawrence University,0.715424213,0.68302906,6.0530484,48.609334,8.5183874,41.668606
